"";"Chemin";"Positions";"Distance"
"Perm3";"Perm - Kazan - ID18 - Moscou - ID3 - Petrograd - Helsinski";"2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";1412,19514450872
"Yekaterin...2";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Kazan - Perm - Yekaterin...";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2172;-1733";1553,25541531521
"Yekaterin...3";"Yekaterin... - Perm - Kazan - ID18 - Moscou - ID3 - Petrograd - Helsinski";"2172;-1733|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";1553,25541531521
"Omsk2";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855";1925,28319500444
"Omsk3";"Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";1925,28319500444
"Novosibirsk2";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834";2256,94868913972
"Novosibirsk3";"Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";2256,94868913972
"Irkustk2";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026";3103,30516425237
"Irkustk3";"Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";3103,30516425237
"ID313";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901";2943,22705831655
"ID314";"ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";2943,22705831655
"ID322";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077";3603,90979866959
"ID323";"ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";3603,90979866959
"ID332";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923";3782,78685141812
"ID333";"ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";3782,78685141812
"ID342";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949";4039,10891445601
"ID343";"ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Helsinski";"4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|820;-1435";4039,10891445601
"ID352";"Helsinski - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021";4112,86527011435
